route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
15,Saturday,130,Fisher's Landing Transit,0,180,214,0,0
17,Saturday,4000,99th Street TC,0,181,215,0,0
17,Saturday,3968,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4002,99th Street TC,0,181,215,0,0
17,Saturday,3970,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4004,99th Street TC,0,181,215,0,0
17,Saturday,3972,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4006,99th Street TC,0,181,215,0,0
17,Saturday,3974,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4008,99th Street TC,0,181,215,0,0
17,Saturday,3976,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4010,99th Street TC,0,181,215,0,0
17,Saturday,3978,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4012,99th Street TC,0,181,215,0,0
17,Saturday,3980,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4026,99th Street TC,0,181,215,0,0
17,Saturday,3982,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4028,99th Street TC,0,181,215,0,0
17,Saturday,3984,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4030,99th Street TC,0,181,215,0,0
17,Saturday,3986,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4032,99th Street TC,0,181,215,0,0
17,Saturday,3988,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4014,99th Street TC,0,181,215,0,0
17,Saturday,3990,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4016,99th Street TC,0,181,215,0,0
17,Saturday,3992,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4018,99th Street TC,0,181,215,0,0
17,Saturday,3994,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4020,99th Street TC,0,181,215,0,0
17,Saturday,3996,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4022,99th Street TC,0,181,215,0,0
17,Saturday,3998,Broadway & Evergreen Blv,1,181,216,0,0
17,Saturday,4024,99th Street TC,0,181,215,0,0
17,Saturday,4001,99th Street TC,0,182,215,0,0
